14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/logo3.png HTTP/1.1" 304 523 0.002432
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 524 0.002617
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/js/jquery.min.js HTTP/1.1" 304 524 0.002629
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/slide1.jpg HTTP/1.1" 304 525 0.003772
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/temp1.png HTTP/1.1" 304 523 0.002602
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/temp2.png HTTP/1.1" 304 523 0.003157
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/temp4.png HTTP/1.1" 304 523 0.002604
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/temp3.png HTTP/1.1" 304 523 0.002637
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course1.jpg HTTP/1.1" 304 524 0.004169
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 523 0.003165
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/slide2.jpg HTTP/1.1" 304 524 0.002507
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course3.jpg HTTP/1.1" 304 524 0.002550
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course4.png HTTP/1.1" 304 524 0.002534
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course2.jpg HTTP/1.1" 304 524 0.003478
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/slide3.jpg HTTP/1.1" 304 524 0.003275
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course8.jpg HTTP/1.1" 304 524 0.002621
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course5.jpg HTTP/1.1" 304 524 0.002733
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course7.jpg HTTP/1.1" 304 524 0.003477
14.212.72.107 - - [2016-01-05 12:59:53] "GET /static/images/course6.jpg HTTP/1.1" 304 524 0.002992
